------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
http.memuse                                   | Total                     | 5664
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:51:51 (uptime: 0d, 00h 01m 20s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2434
decoder.pkts                                  | Total                     | 2444
decoder.bytes                                 | Total                     | 221807
decoder.ipv4                                  | Total                     | 2395
decoder.ipv6                                  | Total                     | 17
decoder.ethernet                              | Total                     | 2444
decoder.tcp                                   | Total                     | 2043
decoder.udp                                   | Total                     | 195
decoder.icmpv4                                | Total                     | 157
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 90
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 139
flow.udp                                      | Total                     | 183
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 2
tcp.sessions                                  | Total                     | 139
tcp.syn                                       | Total                     | 481
tcp.synack                                    | Total                     | 481
tcp.rst                                       | Total                     | 420
detect.alert                                  | Total                     | 1360
app_layer.flow.http                           | Total                     | 61
app_layer.tx.http                             | Total                     | 61
app_layer.flow.dns_udp                        | Total                     | 90
app_layer.tx.dns_udp                          | Total                     | 90
app_layer.flow.failed_udp                     | Total                     | 93
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9211
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 49
flow.mgr.flows_notimeout                      | Total                     | 38
flow.mgr.flows_timeout                        | Total                     | 11
flow.mgr.flows_evicted                        | Total                     | 11
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1040384
http.memuse                                   | Total                     | 5952
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:51:59 (uptime: 0d, 00h 01m 28s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2771
decoder.pkts                                  | Total                     | 2793
decoder.bytes                                 | Total                     | 254991
decoder.ipv4                                  | Total                     | 2734
decoder.ipv6                                  | Total                     | 17
decoder.ethernet                              | Total                     | 2793
decoder.tcp                                   | Total                     | 2339
decoder.udp                                   | Total                     | 218
decoder.icmpv4                                | Total                     | 177
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 91
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 159
flow.udp                                      | Total                     | 206
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 4
tcp.sessions                                  | Total                     | 159
tcp.syn                                       | Total                     | 546
tcp.synack                                    | Total                     | 546
tcp.rst                                       | Total                     | 474
detect.alert                                  | Total                     | 1560
app_layer.flow.http                           | Total                     | 71
app_layer.tx.http                             | Total                     | 72
app_layer.flow.dns_udp                        | Total                     | 103
app_layer.tx.dns_udp                          | Total                     | 103
app_layer.flow.failed_udp                     | Total                     | 103
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9215
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 60
flow.mgr.flows_notimeout                      | Total                     | 45
flow.mgr.flows_timeout                        | Total                     | 15
flow.mgr.flows_evicted                        | Total                     | 15
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1085440
http.memuse                                   | Total                     | 7008
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:52:07 (uptime: 0d, 00h 01m 36s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3027
decoder.pkts                                  | Total                     | 3043
decoder.bytes                                 | Total                     | 280616
decoder.ipv4                                  | Total                     | 2984
decoder.ipv6                                  | Total                     | 17
decoder.ethernet                              | Total                     | 3043
decoder.tcp                                   | Total                     | 2564
decoder.udp                                   | Total                     | 231
decoder.icmpv4                                | Total                     | 189
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 92
